,0
0,122.43228922819591
1,123.22630565540314
2,123.85454593955882
3,123.92544190902477
4,123.92021726521436
5,123.42413652062596
6,122.56279898140909
7,120.07993037466618
8,118.69366538405352
9,117.59878169100986
10,117.30993134815401
11,119.5769813995632
12,117.04406585647506
13,114.29328231781295
