,0
0,122.43228943586244
1,123.22630586220542
2,123.85454594802812
3,123.92544179256888
4,123.92021725579512
5,123.42413644250966
6,122.56279890045606
7,120.07993051378145
8,118.69366458681029
9,117.59878168054429
10,117.3099313843488
11,119.57698177929451
12,117.0440662241719
13,114.29328216209544
